ID,target_country,target_region,prompt,source_prompt,region_choices_list,region_choices_str,region_choice_countries_list,region_choice_region_list,region_answer,answer_idx,answer_str
Al-en-01,South Korea,mid,What is a common snack for preschool kids in South Korea?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['plantatin', 'egg', 'cookie', 'toast']",plantatin|egg|cookie|toast,"['Assam', 'Mexico', 'South Korea', 'Greece']","['low', 'high', 'mid', 'mid']",2,C,cookie
Al-en-01,Azerbaijan,low,What is a common snack for preschool kids in Azerbaijan?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['cookie', 'fruit', 'plantatin', 'nuts']",cookie|fruit|plantatin|nuts,"['South Korea', 'Iran', 'Assam', 'Azerbaijan']","['mid', 'high', 'low', 'low']",3,D,nuts
Al-en-01,China,high,What is a common snack for preschool kids in China?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['cheese stick', 'fruit', 'toast', 'noodles']",cheese stick|fruit|toast|noodles,"['China', 'US', 'Greece', 'Northern Nigeria']","['high', 'high', 'mid', 'low']",0,A,cheese stick
Al-en-01,Algeria,high,What is a common snack for preschool kids in Algeria?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['potato fries', 'jam sandwiches', 'fruit', 'cookie']",potato fries|jam sandwiches|fruit|cookie,"['Ethiopia', 'Algeria', 'Spain', 'South Korea']","['low', 'high', 'high', 'mid']",1,B,jam sandwiches
Al-en-02,Mexico,high,What is a popular food to go with beer in Mexico?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['crisps', 'peanut', 'tacos', 'chickpea']",crisps|peanut|tacos|chickpea,"['UK', 'Indonesia', 'Mexico', 'Assam']","['high', 'mid', 'high', 'low']",2,C,tacos
Al-en-02,Spain,high,What is a popular food to go with beer in Spain?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['souvlaki', 'tacos', 'chickpea', 'tapas']",souvlaki|tacos|chickpea|tapas,"['Greece', 'Mexico', 'Assam', 'Spain']","['mid', 'high', 'low', 'high']",3,D,tapas
Al-en-02,UK,high,What is a popular food to go with beer in UK?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['crisps', 'peanuts', 'souvlaki', 'meat cuts']",crisps|peanuts|souvlaki|meat cuts,"['UK', 'China', 'Greece', 'Ethiopia']","['high', 'high', 'mid', 'low']",0,A,crisps
Al-en-02,Greece,mid,What is a popular food to go with beer in Greece?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['snacks', 'souvlaki', 'nuts', 'peanut']",snacks|souvlaki|nuts|peanut,"['Azerbaijan', 'Greece', 'US', 'Indonesia']","['low', 'mid', 'high', 'mid']",1,B,souvlaki
Al-en-02,Assam,low,What is a popular food to go with beer in Assam?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['fried chicken', 'peanuts', 'chickpea', 'snacks']",fried chicken|peanuts|chickpea|snacks,"['South Korea', 'China', 'Assam', 'Azerbaijan']","['mid', 'high', 'low', 'low']",2,C,chickpea
Al-en-02,Indonesia,mid,What is a popular food to go with beer in Indonesia?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['meat cuts', 'tacos', 'souvlaki', 'peanut']",meat cuts|tacos|souvlaki|peanut,"['Ethiopia', 'Mexico', 'Greece', 'Indonesia']","['low', 'high', 'mid', 'mid']",3,D,peanut
Al-en-02,Ethiopia,low,What is a popular food to go with beer in Ethiopia?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['meat cuts', 'peanut', 'snacks', 'crisps']",meat cuts|peanut|snacks|crisps,"['Ethiopia', 'Indonesia', 'Azerbaijan', 'UK']","['low', 'mid', 'low', 'high']",0,A,meat cuts
Al-en-02,US,high,What is a popular food to go with beer in US?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['meat cuts', 'nuts', 'peanut', 'peanuts']",meat cuts|nuts|peanut|peanuts,"['Ethiopia', 'US', 'Indonesia', 'China']","['low', 'high', 'mid', 'high']",1,B,nuts
Al-en-02,South Korea,mid,What is a popular food to go with beer in South Korea?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['tapas', 'peanut', 'fried chicken', 'chickpea']",tapas|peanut|fried chicken|chickpea,"['Spain', 'Indonesia', 'South Korea', 'Assam']","['high', 'mid', 'mid', 'low']",2,C,fried chicken
Al-en-02,Azerbaijan,low,What is a popular food to go with beer in Azerbaijan?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['crisps', 'peanut', 'chickpea', 'snacks']",crisps|peanut|chickpea|snacks,"['UK', 'Indonesia', 'Assam', 'Azerbaijan']","['high', 'mid', 'low', 'low']",3,D,snacks
Al-en-02,China,high,What is a popular food to go with beer in China?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,"['peanuts', 'meat cuts', 'peanut', 'crisps']",peanuts|meat cuts|peanut|crisps,"['China', 'Ethiopia', 'Indonesia', 'UK']","['high', 'low', 'mid', 'high']",0,A,peanuts
Al-en-04,Mexico,high,What is the most popular fruit in Mexico?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['orange', 'mango', 'apple', 'watermelon']",orange|mango|apple|watermelon,"['Iran', 'Mexico', 'Azerbaijan', 'Greece']","['high', 'high', 'low', 'mid']",1,B,mango
Al-en-04,Spain,high,What is the most popular fruit in Spain?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['malbhog banana', 'apple', 'orange', 'watermelon']",malbhog banana|apple|orange|watermelon,"['Assam', 'US', 'Spain', 'Greece']","['low', 'high', 'high', 'mid']",2,C,orange
Al-en-04,UK,high,What is the most popular fruit in UK?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['malbhog banana', 'orange', 'durian', 'apple']",malbhog banana|orange|durian|apple,"['Assam', 'Iran', 'Indonesia', 'UK']","['low', 'high', 'mid', 'high']",3,D,apple
Al-en-04,Greece,mid,What is the most popular fruit in Greece?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['watermelon', 'apple', 'malbhog banana', 'orange']",watermelon|apple|malbhog banana|orange,"['Greece', 'South Korea', 'Assam', 'China']","['mid', 'mid', 'low', 'high']",0,A,watermelon
Al-en-04,Northern Nigeria,low,What is the most popular fruit in Northern Nigeria?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['apple', 'banana', 'orange', 'watermelon']",apple|banana|orange|watermelon,"['Azerbaijan', 'Northern Nigeria', 'Iran', 'Greece']","['low', 'low', 'high', 'mid']",1,B,banana
Al-en-04,Assam,low,What is the most popular fruit in Assam?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['watermelon', 'orange', 'malbhog banana', 'banana']",watermelon|orange|malbhog banana|banana,"['Greece', 'Spain', 'Assam', 'Northern Nigeria']","['mid', 'high', 'low', 'low']",2,C,malbhog banana
Al-en-04,Indonesia,mid,What is the most popular fruit in Indonesia?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['watermelon', 'banana', 'apple', 'durian']",watermelon|banana|apple|durian,"['Greece', 'Northern Nigeria', 'UK', 'Indonesia']","['mid', 'low', 'high', 'mid']",3,D,durian
Al-en-04,Ethiopia,low,What is the most popular fruit in Ethiopia?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['orange', 'apple', 'durian', 'banana']",orange|apple|durian|banana,"['Ethiopia', 'US', 'Indonesia', 'Northern Nigeria']","['low', 'high', 'mid', 'low']",0,A,orange
Al-en-04,US,high,What is the most popular fruit in US?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['durian', 'apple', 'mango', 'orange']",durian|apple|mango|orange,"['Indonesia', 'US', 'Mexico', 'Ethiopia']","['mid', 'high', 'high', 'low']",1,B,apple
Al-en-04,China,high,What is the most popular fruit in China?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['malbhog banana', 'apple', 'orange', 'durian']",malbhog banana|apple|orange|durian,"['Assam', 'UK', 'China', 'Indonesia']","['low', 'high', 'high', 'mid']",2,C,orange
Al-en-04,Algeria,high,What is the most popular fruit in Algeria?,ما هي الفاكهة الأكثر شعبية في الجزائر؟,"['apple', 'mango', 'banana', 'orange']",apple|mango|banana|orange,"['South Korea', 'Mexico', 'Northern Nigeria', 'Algeria']","['mid', 'high', 'low', 'high']",3,D,orange
Al-en-06,Spain,high,What is a common school cafeteria food in Spain?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['spanish omelette', 'fried rice', 'biscuits', 'chips']",spanish omelette|fried rice|biscuits|chips,"['Spain', 'Indonesia', 'Ethiopia', 'UK']","['high', 'mid', 'low', 'high']",0,A,spanish omelette
Al-en-06,UK,high,What is a common school cafeteria food in UK?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['sandwich', 'chips', 'tea', 'noodles']",sandwich|chips|tea|noodles,"['Greece', 'UK', 'Assam', 'China']","['mid', 'high', 'low', 'high']",1,B,chips
Al-en-06,Iran,high,What is a common school cafeteria food in Iran?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['noodles', 'dolma', 'sandwich', 'fried rice']",noodles|dolma|sandwich|fried rice,"['China', 'Azerbaijan', 'Iran', 'Indonesia']","['high', 'low', 'high', 'mid']",2,C,sandwich
Al-en-06,Greece,mid,What is a common school cafeteria food in Greece?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['tea', 'fried rice', 'noodles', 'sandwich']",tea|fried rice|noodles|sandwich,"['Assam', 'Indonesia', 'China', 'Greece']","['low', 'mid', 'high', 'mid']",3,D,sandwich
Al-en-06,Northern Nigeria,low,What is a common school cafeteria food in Northern Nigeria?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['rice and beans', 'tea', 'sandwich', 'pizza']",rice and beans|tea|sandwich|pizza,"['Northern Nigeria', 'Assam', 'Greece', 'US']","['low', 'low', 'mid', 'high']",0,A,rice and beans
Al-en-06,Assam,low,What is a common school cafeteria food in Assam?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['rice and beans', 'tea', 'sandwich', 'lentils']",rice and beans|tea|sandwich|lentils,"['Northern Nigeria', 'Assam', 'Greece', 'Algeria']","['low', 'low', 'mid', 'high']",1,B,tea
Al-en-06,Indonesia,mid,What is a common school cafeteria food in Indonesia?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['sandwich', 'dolma', 'fried rice', 'noodles']",sandwich|dolma|fried rice|noodles,"['Greece', 'Azerbaijan', 'Indonesia', 'China']","['mid', 'low', 'mid', 'high']",2,C,fried rice
Al-en-06,Ethiopia,low,What is a common school cafeteria food in Ethiopia?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['pizza', 'tea', 'fried rice', 'biscuits']",pizza|tea|fried rice|biscuits,"['US', 'Assam', 'Indonesia', 'Ethiopia']","['high', 'low', 'mid', 'low']",3,D,biscuits
Al-en-06,US,high,What is a common school cafeteria food in US?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['pizza', 'spanish omelette', 'kimchi', 'biscuits']",pizza|spanish omelette|kimchi|biscuits,"['US', 'Spain', 'South Korea', 'Ethiopia']","['high', 'high', 'mid', 'low']",0,A,pizza
Al-en-06,South Korea,mid,What is a common school cafeteria food in South Korea?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['noodles', 'kimchi', 'rice and beans', 'sandwich']",noodles|kimchi|rice and beans|sandwich,"['China', 'South Korea', 'Northern Nigeria', 'Greece']","['high', 'mid', 'low', 'mid']",1,B,kimchi
Al-en-06,Azerbaijan,low,What is a common school cafeteria food in Azerbaijan?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['lentils', 'rice and beans', 'dolma', 'fried rice']",lentils|rice and beans|dolma|fried rice,"['Algeria', 'Northern Nigeria', 'Azerbaijan', 'Indonesia']","['high', 'low', 'low', 'mid']",2,C,dolma
Al-en-06,China,high,What is a common school cafeteria food in China?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['sandwich', 'biscuits', 'fried rice', 'noodles']",sandwich|biscuits|fried rice|noodles,"['Iran', 'Ethiopia', 'Indonesia', 'China']","['high', 'low', 'mid', 'high']",3,D,noodles
Al-en-06,Algeria,high,What is a common school cafeteria food in Algeria?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,"['lentils', 'fried rice', 'chips', 'biscuits']",lentils|fried rice|chips|biscuits,"['Algeria', 'Indonesia', 'UK', 'Ethiopia']","['high', 'mid', 'high', 'low']",0,A,lentils
Al-en-08,Mexico,high,What are the most commonly eaten snacks at shopping malls in Mexico?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['french fried', 'tacos', 'ice cream', 'panipuri']",french fried|tacos|ice cream|panipuri,"['Spain', 'Mexico', 'South Korea', 'Assam']","['high', 'high', 'mid', 'low']",1,B,tacos
Al-en-08,Spain,high,What are the most commonly eaten snacks at shopping malls in Spain?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['potato chips', 'fritters', 'french fried', 'cookies']",potato chips|fritters|french fried|cookies,"['China', 'Indonesia', 'Spain', 'Ethiopia']","['high', 'mid', 'high', 'low']",2,C,french fried
Al-en-08,UK,high,What are the most commonly eaten snacks at shopping malls in UK?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['pretzels', 'souvlaki', 'biscuit', 'burgers']",pretzels|souvlaki|biscuit|burgers,"['US', 'Greece', 'Northern Nigeria', 'UK']","['high', 'mid', 'low', 'high']",3,D,burgers
Al-en-08,Iran,high,What are the most commonly eaten snacks at shopping malls in Iran?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['crisps', 'biscuit', 'burgers', 'ice cream']",crisps|biscuit|burgers|ice cream,"['Iran', 'Northern Nigeria', 'UK', 'South Korea']","['high', 'low', 'high', 'mid']",0,A,crisps
Al-en-08,Greece,mid,What are the most commonly eaten snacks at shopping malls in Greece?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['cookies', 'souvlaki', 'ice cream', 'pizza']",cookies|souvlaki|ice cream|pizza,"['Ethiopia', 'Greece', 'South Korea', 'Algeria']","['low', 'mid', 'mid', 'high']",1,B,souvlaki
Al-en-08,Northern Nigeria,low,What are the most commonly eaten snacks at shopping malls in Northern Nigeria?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['panipuri', 'souvlaki', 'biscuit', 'burgers']",panipuri|souvlaki|biscuit|burgers,"['Assam', 'Greece', 'Northern Nigeria', 'UK']","['low', 'mid', 'low', 'high']",2,C,biscuit
Al-en-08,Assam,low,What are the most commonly eaten snacks at shopping malls in Assam?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['crisps', 'souvlaki', 'biscuit', 'panipuri']",crisps|souvlaki|biscuit|panipuri,"['Iran', 'Greece', 'Northern Nigeria', 'Assam']","['high', 'mid', 'low', 'low']",3,D,panipuri
Al-en-08,Indonesia,mid,What are the most commonly eaten snacks at shopping malls in Indonesia?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['fritters', 'tacos', 'souvlaki', 'cookies']",fritters|tacos|souvlaki|cookies,"['Indonesia', 'Mexico', 'Greece', 'Ethiopia']","['mid', 'high', 'mid', 'low']",0,A,fritters
Al-en-08,Ethiopia,low,What are the most commonly eaten snacks at shopping malls in Ethiopia?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['potato chips', 'cookies', 'doner kebab', 'souvlaki']",potato chips|cookies|doner kebab|souvlaki,"['China', 'Ethiopia', 'Azerbaijan', 'Greece']","['high', 'low', 'low', 'mid']",1,B,cookies
Al-en-08,US,high,What are the most commonly eaten snacks at shopping malls in US?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['cookies', 'crisps', 'pretzels', 'fritters']",cookies|crisps|pretzels|fritters,"['Ethiopia', 'Iran', 'US', 'Indonesia']","['low', 'high', 'high', 'mid']",2,C,pretzels
Al-en-08,South Korea,mid,What are the most commonly eaten snacks at shopping malls in South Korea?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['pretzels', 'cookies', 'fritters', 'ice cream']",pretzels|cookies|fritters|ice cream,"['US', 'Ethiopia', 'Indonesia', 'South Korea']","['high', 'low', 'mid', 'mid']",3,D,ice cream
Al-en-08,Azerbaijan,low,What are the most commonly eaten snacks at shopping malls in Azerbaijan?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['doner kebab', 'fritters', 'biscuit', 'crisps']",doner kebab|fritters|biscuit|crisps,"['Azerbaijan', 'Indonesia', 'Northern Nigeria', 'Iran']","['low', 'mid', 'low', 'high']",0,A,doner kebab
Al-en-08,China,high,What are the most commonly eaten snacks at shopping malls in China?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['biscuit', 'potato chips', 'souvlaki', 'tacos']",biscuit|potato chips|souvlaki|tacos,"['Northern Nigeria', 'China', 'Greece', 'Mexico']","['low', 'high', 'mid', 'high']",1,B,potato chips
Al-en-08,Algeria,high,What are the most commonly eaten snacks at shopping malls in Algeria?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,"['fritters', 'biscuit', 'pizza', 'burgers']",fritters|biscuit|pizza|burgers,"['Indonesia', 'Northern Nigeria', 'Algeria', 'UK']","['mid', 'low', 'high', 'high']",2,C,pizza
Al-en-09,Mexico,high,What is a popular snack at an amusement park in Mexico?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['churros', 'shawarma', 'cotton candy', 'crisps']",churros|shawarma|cotton candy|crisps,"['South Korea', 'Northern Nigeria', 'Iran', 'Mexico']","['mid', 'low', 'high', 'high']",3,D,crisps
Al-en-09,Spain,high,What is a popular snack at an amusement park in Spain?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['french fries', 'popcorn', 'churros', 'cotton candy']",french fries|popcorn|churros|cotton candy,"['Spain', 'Azerbaijan', 'South Korea', 'Algeria']","['high', 'low', 'mid', 'high']",0,A,french fries
Al-en-09,Iran,high,What is a popular snack at an amusement park in Iran?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['churros', 'cotton candy', 'ice cream', 'candy floss']",churros|cotton candy|ice cream|candy floss,"['South Korea', 'Iran', 'Assam', 'UK']","['mid', 'high', 'low', 'high']",1,B,cotton candy
Al-en-09,Greece,mid,What is a popular snack at an amusement park in Greece?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['french fries', 'churros', 'cotton candy', 'shawarma']",french fries|churros|cotton candy|shawarma,"['Spain', 'South Korea', 'Greece', 'Northern Nigeria']","['high', 'mid', 'mid', 'low']",2,C,cotton candy
Al-en-09,Northern Nigeria,low,What is a popular snack at an amusement park in Northern Nigeria?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['cotton candy', 'churros', 'popcorn', 'shawarma']",cotton candy|churros|popcorn|shawarma,"['Iran', 'South Korea', 'Azerbaijan', 'Northern Nigeria']","['high', 'mid', 'low', 'low']",3,D,shawarma
Al-en-09,Assam,low,What is a popular snack at an amusement park in Assam?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['ice cream', 'marshmallow', 'cotton candy', 'cake']",ice cream|marshmallow|cotton candy|cake,"['Assam', 'China', 'Greece', 'Ethiopia']","['low', 'high', 'mid', 'low']",0,A,ice cream
Al-en-09,Indonesia,mid,What is a popular snack at an amusement park in Indonesia?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['churros', 'popcorn', 'cotton candy', 'ice cream']",churros|popcorn|cotton candy|ice cream,"['South Korea', 'Indonesia', 'US', 'Assam']","['mid', 'mid', 'high', 'low']",1,B,popcorn
Al-en-09,Ethiopia,low,What is a popular snack at an amusement park in Ethiopia?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['shawarma', 'churros', 'cake', 'french fries']",shawarma|churros|cake|french fries,"['Northern Nigeria', 'South Korea', 'Ethiopia', 'Spain']","['low', 'mid', 'low', 'high']",2,C,cake
Al-en-09,US,high,What is a popular snack at an amusement park in US?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['marshmallow', 'popcorn', 'shawarma', 'cotton candy']",marshmallow|popcorn|shawarma|cotton candy,"['China', 'Indonesia', 'Northern Nigeria', 'US']","['high', 'mid', 'low', 'high']",3,D,cotton candy
Al-en-09,Azerbaijan,low,What is a popular snack at an amusement park in Azerbaijan?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['popcorn', 'churros', 'ice cream', 'french fries']",popcorn|churros|ice cream|french fries,"['Azerbaijan', 'South Korea', 'Assam', 'Spain']","['low', 'mid', 'low', 'high']",0,A,popcorn
Al-en-09,China,high,What is a popular snack at an amusement park in China?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['french fries', 'marshmallow', 'cotton candy', 'ice cream']",french fries|marshmallow|cotton candy|ice cream,"['Spain', 'China', 'Greece', 'Assam']","['high', 'high', 'mid', 'low']",1,B,marshmallow
Al-en-09,Algeria,high,What is a popular snack at an amusement park in Algeria?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,"['churros', 'ice cream', 'cotton candy', 'crisps']",churros|ice cream|cotton candy|crisps,"['South Korea', 'Assam', 'Algeria', 'Mexico']","['mid', 'low', 'high', 'high']",2,C,cotton candy
Al-en-16,Mexico,high,"At what age do kids start preschool in Mexico? (Provide Arabic numerals (e.g., 12) only.)",في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.),"['6', '5', '4', '3']",6|5|4|3,"['Iran', 'South Korea', 'Assam', 'Mexico']","['high', 'mid', 'low', 'high']",3,D,3
Al-en-17,Mexico,high,What is a popular afterschool sport for elementary schools in Mexico?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,"['soccer', 'football', 'hide and seek', 'basketball']",soccer|football|hide and seek|basketball,"['Mexico', 'Iran', 'Assam', 'Indonesia']","['high', 'high', 'low', 'mid']",0,A,soccer
Al-en-17,Spain,high,What is a popular afterschool sport for elementary schools in Spain?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,"['basketball', 'soccer', 'football', 'hide and seek']",basketball|soccer|football|hide and seek,"['Indonesia', 'Spain', 'Iran', 'Assam']","['mid', 'high', 'high', 'low']",1,B,soccer
Al-en-17,UK,high,What is a popular afterschool sport for elementary schools in UK?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,"['hide and seek', 'basketball', 'soccer', 'football']",hide and seek|basketball|soccer|football,"['Assam', 'Indonesia', 'UK', 'Iran']","['low', 'mid', 'high', 'high']",2,C,soccer
Al-en-17,Greece,mid,What is a popular afterschool sport for elementary schools in Greece?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,"['basketball', 'football', 'hide and seek', 'soccer']",basketball|football|hide and seek|soccer,"['Indonesia', 'Iran', 'Assam', 'Greece']","['mid', 'high', 'low', 'mid']",3,D,soccer
Al-en-17,Northern Nigeria,low,What is a popular afterschool sport for elementary schools in Northern Nigeria?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,"['soccer', 'hide and seek', 'basketball', 'football']",soccer|hide and seek|basketball|football,"['Northern Nigeria', 'Assam', 'Indonesia', 'Iran']","['low', 'low', 'mid', 'high']",0,A,soccer
