ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Ca-sp-29,Greece,Europe,What tradition is there in Greece for New Year's Eve?,Ποια είναι η παράδοση στην Ελλάδα για την Πρωτοχρονιά;,A,"['family meal', 'have dinner toghether', 'eat the grapes to the rhythm of the clock in the square', 'eating sweets']","['οικογενειακό τραπέζι', 'cenar todos juntos', 'comer las uvas al ritmo del reloj de la plaza', 'اكل الحلوى']","['Greece', 'Mexico', 'Spain', 'Algeria']","['Europe', 'North America', 'Europe', 'Africa']",0,family meal
Ca-sp-38,Greece,Europe,Which is the typical type of house for a family in Greece?,Ποιος είναι ο τυπικός τύπος σπιτιού για μια οικογένεια στην Ελλάδα;,B,"['single story prefab', 'apartment in an apartment building', 'the apartment', 'flat']","['single story prefab', 'διαμέρισμα σε πολυκατοικία', 'الشقة', 'piso']","['US', 'Greece', 'Algeria', 'Spain']","['North America', 'Europe', 'Africa', 'Europe']",1,apartment in an apartment building
Ca-sp-41,Greece,Europe,Where do the dependent elderly usually live in Greece?,Πού συνήθως ζουν οι εξαρτώμενοι ηλικιωμένοι στην Ελλάδα;,C,"['with family members', 'mekedonia', 'houses of prosperity', 'in nursing homes']","['con familiares', 'መቄዶንያ', 'οίκοι ευγηρίας', 'en asilos']","['Mexico', 'Ethiopia', 'Greece', 'Spain']","['North America', 'Africa', 'Europe', 'Europe']",2,houses of prosperity
Ca-sp-43,Greece,Europe,"How long (in weeks) is Greece's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","Πόσο διαρκεί (σε εβδομάδες) η άδεια πατρότητας στην Ελλάδα για τους μπαμπάδες; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 20).)",D,"['6', '1', '16', '2']","['6', '1', '16', '2']","['US', 'Ethiopia', 'Spain', 'Greece']","['North America', 'Africa', 'Europe', 'Europe']",3,2
Ca-sp-45,Greece,Europe,What type of destination is commonly chosen for a family vacation in Greece?,Ποιο είδος προορισμού επιλέγεται συνήθως για οικογενειακές διακοπές στην Ελλάδα;,A,"['island', 'cancun', 'minjibir package', 'canary islands']","['νησί', 'Cancún', 'minjibir pack', 'canarias']","['Greece', 'Mexico', 'Northern_Nigeria', 'Spain']","['Europe', 'North America', 'Africa', 'Europe']",0,island
Gu-ch-07,Greece,Europe,Who is the most famous basketball player in Greece?,Ποιος είναι ο πιο διάσημος μπασκετμπολίστας στην Ελλάδα;,B,"['pau gasol', 'antetokounmpo', 'ahmad musa', 'Michael Jordan']","['pau gasol', 'Αντετοκούνμπο', 'Ahmad Musa', 'Michael Jordan']","['Spain', 'Greece', 'Northern_Nigeria', 'US']","['Europe', 'Europe', 'Africa', 'North America']",1,antetokounmpo
Gu-ch-11,Greece,Europe,What sports event has Greece won the most gold medals at the Olympics?,Σε ποιο αθλητικό γεγονός έχει κερδίσει η Ελλάδα τα περισσότερα χρυσά μετάλλια στους Ολυμπιακούς Αγώνες;,C,"['running', 'athletics', 'weightlifting', 'diving']","['الركض', 'athletics', 'άρση βαρών', 'clavados']","['Algeria', 'UK', 'Greece', 'Mexico']","['Africa', 'Europe', 'Europe', 'North America']",2,weightlifting
Gu-ch-31,Greece,Europe,"What is the duration of elementary school in years in Greece? (Provide Arabic numerals (e.g., 12) only.)","Ποια είναι η διάρκεια του δημοτικού σχολείου σε χρόνια στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)",D,"['7', '5', '8', '6']","['7', '5', '8', '6']","['UK', 'Algeria', 'US', 'Greece']","['Europe', 'Africa', 'North America', 'Europe']",3,6
Gu-ch-32,Greece,Europe,"What is the duration of compulsory education in years in Greece? (Provide Arabic numerals (e.g., 12) only.)","Ποια είναι η διάρκεια της υποχρεωτικής εκπαίδευσης σε έτη στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)",A,"['9', '13', '18', '15']","['9', '13', '18', '15']","['Greece', 'UK', 'Ethiopia', 'Mexico']","['Europe', 'Europe', 'Africa', 'North America']",0,9
Ji-ko-03,Greece,Europe,Which region/city has the highest number of financial companies in Greece?,Ποια περιοχή/πόλη έχει τον υψηλότερο αριθμό χρηματοοικονομικών εταιρειών στην Ελλάδα;,B,"['addis ababa', 'athens', 'New York City', 'london']","['አዲስ አበባ', 'Αθήνα', 'New York City', 'london']","['Ethiopia', 'Greece', 'US', 'UK']","['Africa', 'Europe', 'North America', 'Europe']",1,athens
Ji-ko-07,Greece,Europe,What is the most famous private company in Greece?,Ποια είναι η πιο διάσημη ιδιωτική εταιρεία στην Ελλάδα;,C,"['modelo group', 'dangote company', 'public power corporation', ""cadbury's""]","['grupo modelo', 'kamfanin dangote', 'ΔΕΗ', ""cadbury's""]","['Mexico', 'Northern_Nigeria', 'Greece', 'UK']","['North America', 'Africa', 'Europe', 'Europe']",2,public power corporation
Ji-ko-08,Greece,Europe,"What is the maximum number of hours one can work per week in Greece? (Provide Arabic numerals (e.g., 12) only.)","Ποιος είναι ο μέγιστος αριθμός ωρών που κάποιος μπορεί να εργαστεί ανά εβδομάδα στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)",D,"['48', '40', '45', '43']","['48', '40', '45', '43']","['UK', 'US', 'Northern_Nigeria', 'Greece']","['Europe', 'North America', 'Africa', 'Europe']",3,43
Ji-ko-09,Greece,Europe,What do people typically eat during company get-together in Greece?,Τι τρώνε συνήθως οι άνθρωποι σε εταιρικές συναθροίσεις στην Ελλάδα;,A,"['sandwich', 'meat', 'menu', 'tea']","['σάντουιτς', 'اللحم', 'menu', 'চাহ']","['Greece', 'Algeria', 'Spain', 'Assam']","['Europe', 'Africa', 'Europe', 'South Asia']",0,sandwich
Ji-ko-14,Greece,Europe,What is the representative export item of Greece?,Ποιο είναι το αντιπροσωπευτικό εξαγωγικό προϊόν της Ελλάδας;,B,"['ham', 'olive oil', 'petroleum', 'indomie']","['jamón', 'ελαιόλαδο', 'البترول', 'indomie']","['Spain', 'Greece', 'Algeria', 'Indonesia']","['Europe', 'Europe', 'Africa', 'South Asia']",1,olive oil
Ji-ko-16,Greece,Europe,Where do mothers stay for a certain period after childbirth for recovery in Greece?,Πού μένουν οι μητέρες για ένα συγκεκριμένο διάστημα μετά τον τοκετό για ανάρρωση στην Ελλάδα;,C,"['4 months', 'in the hospital', 'their house', 'home']","['4 ወር', 'en el hospital', 'σπίτι τους', 'নিজা ঘৰত']","['Ethiopia', 'Spain', 'Greece', 'Assam']","['Africa', 'Europe', 'Europe', 'South Asia']",2,their house
Ji-ko-22,Greece,Europe,What do people especially spend their first salary on in Greece's society?,Σε τι ξοδεύουν οι άνθρωποι ιδιαίτερα τον πρώτο τους μισθό στην κοινωνία της Ελλάδας;,D,"['clothes', 'pants', 'feast', 'food']","['ropa', 'pakaian', 'ለግብዣ', 'φαγητό']","['Spain', 'Indonesia', 'Ethiopia', 'Greece']","['Europe', 'South Asia', 'Africa', 'Europe']",3,food
Ji-ko-24,Greece,Europe,What is the most preferred recreational facility among children in Greece?,Ποια είναι η πιο προτιμώμενη ψυχαγωγική εγκατάσταση από τα παιδιά στην Ελλάδα;,A,"['playground', 'sports', 'playground with swings', 'ball pit']","['παιδότοπος', 'খেলা ধূলা', 'wajan wasa mai lilo', 'parque de bolas']","['Greece', 'Assam', 'Northern_Nigeria', 'Spain']","['Europe', 'South Asia', 'Africa', 'Europe']",0,playground
Ji-ko-27,Greece,Europe,What is the common gift you give when visiting elderly parents in Greece?,Ποιο είναι ένα συνηθισμένο δώρο που δίνετε όταν επισκέπτεστε ηλικιωμένους γονείς στην Ελλάδα;,B,"['snack', 'sweets', 'kola nut', 'chocolates']","['makanan ringan', 'γλυκά', 'goro', 'bombones']","['Indonesia', 'Greece', 'Northern_Nigeria', 'Spain']","['South Asia', 'Europe', 'Africa', 'Europe']",1,sweets
Ji-ko-28,Greece,Europe,When is the first day that people celebrate after a child is born in Greece?,Πότε είναι η πρώτη μέρα που οι άνθρωποι γιορτάζουν μετά τη γέννηση ενός παιδιού στην Ελλάδα;,C,"['seventh day', 'first birthday', 'after 40 days', 'days of a month']","['اليوم السابع', 'first birthday', 'μετά από 40 μέρες', 'এক মাহৰ দিনা']","['Algeria', 'UK', 'Greece', 'Assam']","['Africa', 'Europe', 'Europe', 'South Asia']",2,after 40 days
Ji-ko-31,Greece,Europe,Where do middle and high school students in Greece usually study for exams?,Πού συνήθως μελετούν οι μαθητές του γυμνασίου και του λυκείου στην Ελλάδα για τις εξετάσεις;,D,"['tutoring', 'library', 'school', 'their house']","['les', 'المكتبة', 'school', 'σπίτι τους']","['Indonesia', 'Algeria', 'UK', 'Greece']","['South Asia', 'Africa', 'Europe', 'Europe']",3,their house
Ji-ko-35,Greece,Europe,What is the most common form of private education in Greece?,Ποια είναι η πιο συνηθισμένη μορφή ιδιωτικής εκπαίδευσης στην Ελλάδα;,A,"['colleges', 'boarding school', 'domestic education', ""st joseph's school""]","['κολλέγια', 'boarding school', 'ঘৰুৱা শিক্ষা', 'ሴንጆሴፍ']","['Greece', 'UK', 'Assam', 'Ethiopia']","['Europe', 'Europe', 'South Asia', 'Africa']",0,colleges
Ji-ko-39,Greece,Europe,What is the most commonly learned musical instrument by elementary school students in Greece?,Ποιο είναι το πιο συνηθισμένο μουσικό όργανο που μαθαίνουν οι μαθητές του δημοτικού στην Ελλάδα;,B,"['recorder', 'guitar', 'pianica', 'kirare']","['recorder', 'κιθάρα', 'pianika', 'ክራር']","['UK', 'Greece', 'Indonesia', 'Ethiopia']","['Europe', 'Europe', 'South Asia', 'Africa']",1,guitar
Ji-ko-40,Greece,Europe,What do high school students typically do during break time in schools in Greece?,Τι κάνουν συνήθως οι μαθητές του λυκείου κατά τη διάρκεια του διαλείμματος στα σχολεία στην Ελλάδα;,C,"['eat', 'eat lunch', 'spend time with their classmates', 'play']","['জলপান খায়', 'eat lunch', 'συναναστρέφονται με συμμαθητες', 'wasa']","['Assam', 'UK', 'Greece', 'Northern_Nigeria']","['South Asia', 'Europe', 'Europe', 'Africa']",2,spend time with their classmates
Ji-ko-42,Greece,Europe,What are the required subjects in Greece's university entrance exam?,Ποια είναι τα απαιτούμενα μαθήματα στις πανελλήνιες εξετάσεις εισαγωγής στα πανεπιστήμια της Ελλάδας;,D,"['lissafi', 'mathematics', 'english', 'language']","['Lissafi', 'matematika', 'english', 'έκθεση']","['Northern_Nigeria', 'Indonesia', 'UK', 'Greece']","['Africa', 'South Asia', 'Europe', 'Europe']",3,language
Ji-ko-44,Greece,Europe,Which region (within a city) in Greece has the highest academic fervor?,Ποια περιοχή (εντός μιας πόλης) στην Ελλάδα έχει τον υψηλότερο ακαδημαϊκό ζήλο;,A,"['zografrou', 'el harrach', 'university campus', 'sumgait']","['Ζωγράφου', 'الحراش', 'campus universitario.', 'Sumqayıt']","['Greece', 'Algeria', 'Spain', 'Azerbaijan']","['Europe', 'Africa', 'Europe', 'Western Asia']",0,zografrou
Ji-ko-45,Greece,Europe,What do people look forward to the most at university festivals in Greece?,Τι ανυπομονούν περισσότερο να δουν οι άνθρωποι στα πανεπιστημιακά φεστιβάλ στην Ελλάδα;,B,"['identify the best possible opportunities', 'singers', 'music', 'alcohol']","['التعرف على أفضل الفرص الممكنة', 'τραγουδιστές', 'موسیقی', 'alcohol']","['Algeria', 'Greece', 'Iran', 'Spain']","['Africa', 'Europe', 'Western Asia', 'Europe']",1,singers
Jo-sp-18,Greece,Europe,"How many holiday days per year does a standard worker gets in Greece? (Provide Arabic numerals (e.g., 12) only.)","Πόσες ημέρες διακοπών το χρόνο δικαιούται ένας τυπικός εργαζόμενος στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς, π.χ., 12.)",C,"['8', '20', '22', '30']","['8', '20', '22', '30']","['Ethiopia', 'Azerbaijan', 'Greece', 'Spain']","['Africa', 'Western Asia', 'Europe', 'Europe']",2,22
Jo-sp-19,Greece,Europe,What region in Greece has been traditionally associated with agriculture?,Ποια περιοχή στην Ελλάδα έχει παραδοσιακά συνδεθεί με τη γεωργία;,D,"['amhara', 'north', 'andalusia', 'crete']","['አማራ', 'شمال', 'andalucía', 'Κρήτη']","['Ethiopia', 'Iran', 'Spain', 'Greece']","['Africa', 'Western Asia', 'Europe', 'Europe']",3,crete
Jo-sp-21,Greece,Europe,"What time, if any, do people usually leave work for lunch in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Ποια ώρα, αν υπάρχει, συνήθως φεύγουν οι άνθρωποι από τη δουλειά για μεσημεριανό στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00).",A,"['17:00', '13:00', '12:00', '14:00']","['17:00', '13:00', '12:00', '14:00']","['Greece', 'Northern_Nigeria', 'Azerbaijan', 'Spain']","['Europe', 'Africa', 'Western Asia', 'Europe']",0,17:00
Jod-ch-01,Greece,Europe,What eating utensils do people commonly used in Greece?,Ποια σκεύη φαγητού χρησιμοποιούν συνήθως οι άνθρωποι στην Ελλάδα;,B,"['rice', 'dishes', 'fork', 'spoon']","['shinkafa', 'πιάτα', 'tenedor', 'قاشق']","['Northern_Nigeria', 'Greece', 'Spain', 'Iran']","['Africa', 'Europe', 'Europe', 'Western Asia']",1,dishes
Jod-ch-09,Greece,Europe,"What time do people usually have dinner in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Τι ώρα συνήθως τρώνε δείπνο οι άνθρωποι στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00).",C,"['20:00', '18:00', '15:00', '13:00']","['20:00', '18:00', '15:00', '13:00']","['Algeria', 'UK', 'Greece', 'Azerbaijan']","['Africa', 'Europe', 'Europe', 'Western Asia']",2,15:00
Jod-ch-12,Greece,Europe,What kind of soup do people from Greece like to have?,Τι είδους σούπα συνηθίζουν να τρώνε οι άνθρωποι στην Ελλάδα;,D,"['shourba frik', 'barley soup', 'tomato', 'chicken soup']","['شوربة', 'سوپ جو', 'tomato', 'κοτόσουπα']","['Algeria', 'Iran', 'UK', 'Greece']","['Africa', 'Western Asia', 'Europe', 'Europe']",3,chicken soup
Jod-ch-13,Greece,Europe,What street food do people from Greece like to eat?,Τι street food συνηθίζουν να τρώνε οι άνθρωποι στην Ελλάδα;,A,"['pita gyro', 'kebabs', 'potato fries', 'doner kebab']","['πίτα γύρο', 'kebabs', 'ድንች ጥብስ', 'dönər']","['Greece', 'UK', 'Ethiopia', 'Azerbaijan']","['Europe', 'Europe', 'Africa', 'Western Asia']",0,pita gyro
Jod-ch-16,Greece,Europe,What is the biggest festival in Greece?,Ποιο είναι το μεγαλύτερο φεστιβάλ στην Ελλάδα;,B,"['nowruz', 'patras carnival', 'easter', 'glastonbury']","['نوروز', 'Πατρινό καρναβάλι', 'ትንሳየ', 'glastonbury']","['Iran', 'Greece', 'Ethiopia', 'UK']","['Western Asia', 'Europe', 'Africa', 'Europe']",1,patras carnival
Jod-ch-28,Greece,Europe,What is the most commonly used public transport by people when travelling between cites in Greece?,Ποιο είναι το πιο συχνά χρησιμοποιούμενο μέσο δημόσιας μεταφοράς από τους ανθρώπους όταν ταξιδεύουν μεταξύ πόλεων στην Ελλάδα;,C,"['car', 'personal car', 'coach', 'train']","['mota', 'şəxsi maşın', 'ΚΤΕΛ', 'train']","['Northern_Nigeria', 'Azerbaijan', 'Greece', 'UK']","['Africa', 'Western Asia', 'Europe', 'Europe']",2,coach
Jod-ch-30,Greece,Europe,What are the specific decorations or symbols associated with the most biggest festival in Greece?,Ποιες είναι οι συγκεκριμένες διακοσμήσεις ή σύμβολα που συνδέονται με το μεγαλύτερο φεστιβάλ στην Ελλάδα;,D,"['christmas tree', 'wearing new clothes', 'haft-seen', 'beer']","['christmas tree', 'saka kayan sallah', 'هفت سین', 'μπύρα']","['UK', 'Northern_Nigeria', 'Iran', 'Greece']","['Europe', 'Africa', 'Western Asia', 'Europe']",3,beer
Jod-ch-41,Greece,Europe,What is the common leisure activity that females in their 20s in Greece engage in?,Ποια είναι μια συνηθισμένη δραστηριότητα ελεύθερου χρόνου για γυναίκες στα 20 τους στην Ελλάδα;,A,"['coffee', 'dance', 'go shopping', 'shopping']","['καφές', 'bailar', 'ir a comprar', '逛街']","['Greece', 'Mexico', 'Spain', 'China']","['Europe', 'North America', 'Europe', 'East Asia']",0,coffee
Jod-ch-42,Greece,Europe,What is the common leisure activity that males in their 20s in Greece engage in?,Ποια είναι μια συνηθισμένη δραστηριότητα ελεύθερου χρόνου για άνδρες στα 20 τους στην Ελλάδα;,B,"['play soccer', 'soccer', 'play games', 'playing video games']","['jugar al fútbol', 'ποδόσφαιρο', '打游戏', 'playing video games']","['Spain', 'Greece', 'China', 'US']","['Europe', 'Europe', 'East Asia', 'North America']",1,soccer
Jod-ch-48,Greece,Europe,What do people eat for lunch during the working days in Greece?,Τι τρώνε οι άνθρωποι για μεσημεριανό κατά τις εργάσιμες ημέρες στην Ελλάδα;,C,"['coffee and sandwich', 'rice', 'meat', 'sandwich']","['café y bocadillo', '밥', 'κρέας', 'torta']","['Spain', 'South_Korea', 'Greece', 'Mexico']","['Europe', 'East Asia', 'Europe', 'North America']",2,meat
Jod-ch-51,Greece,Europe,What is the most common transportation that people take to get to work in Greece?,Ποιο είναι το πιο συνηθισμένο μέσο μεταφοράς που χρησιμοποιούν οι άνθρωποι για να πάνε στη δουλειά στην Ελλάδα;,D,"['private car', 'driving', 'subway', 'metro']","['coche particular', 'driving', '지하철', 'μετρό']","['Spain', 'US', 'South_Korea', 'Greece']","['Europe', 'North America', 'East Asia', 'Europe']",3,metro
Jod-ch-54,Greece,Europe,"How long (in days) is the marriage leave in Greece? (Provide Arabic numerals (e.g., 12) only.)","Πόσο διαρκεί (σε ημέρες) η άδεια γάμου στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)",A,"['6', '5', '0', '3']","['6', '5', '0', '3']","['Greece', 'Mexico', 'UK', 'China']","['Europe', 'North America', 'Europe', 'East Asia']",0,6
Jod-ch-61,Greece,Europe,Which occupation is most preferred among females in Greece?,Ποιά είναι η πιο προτιμώμενη επαγγελματική ασχολία από τις γυναίκες στην Ελλάδα;,B,"['teaching', 'educator', 'teacher', 'instructor']","['teaching', 'εκπαιδευτικός', '教师', 'instructor']","['UK', 'Greece', 'China', 'US']","['Europe', 'Europe', 'East Asia', 'North America']",1,educator
Ki-pe-32,Greece,Europe,What food do the hosts usually prepare for the guests in Greece?,Τι φαγητό συνήθως ετοιμάζουν οι οικοδεσπότες για τους καλεσμένους στην Ελλάδα;,C,"['buffet', 'meat', 'feta and salad', 'a traditional soup or stew made of pork and corn']","['buffet', '고기', 'σαλάτα', 'pozole']","['UK', 'South_Korea', 'Greece', 'Mexico']","['Europe', 'East Asia', 'Europe', 'North America']",2,feta and salad
Ki-pe-36,Greece,Europe,"Except the food original from Greece, which country's food is more popular in Greece?","Εκτός από τα φαγητά Ελληνικής προέλευσης, ποιας χώρας το φαγητό είναι πιο δημοφιλές στην Ελλάδα;",D,"['indian', 'japanese cuisine', 'mexican', 'italian cuisine']","['indian', '일식', 'mexican', 'Ιταλία']","['UK', 'South_Korea', 'US', 'Greece']","['Europe', 'East Asia', 'North America', 'Europe']",3,italian cuisine
Ki-pe-39,Greece,Europe,What food is usually prepared for a family picnic in Greece?,Τι φαγητό συνήθως ετοιμάζεται για ένα οικογενειακό πικνίκ στην Ελλάδα;,A,"['cold sandwich', 'pilau', 'fruit', 'russian salad']","['κρύο σάντουιτς', 'পোলাও', '水果', 'ensaladilla']","['Greece', 'Assam', 'China', 'Spain']","['Europe', 'South Asia', 'East Asia', 'Europe']",0,cold sandwich
Ki-pe-40,Greece,Europe,Which food from Greece is considered disgusting by the rest of the world?,Ποιο φαγητό από την Ελλάδα θεωρείται αηδιαστικό από τον υπόλοιπο κόσμο;,B,"['century egg', 'kokoretsi', 'durian', 'snails']","['皮蛋', 'κοκορέτσι', 'duren', 'caracoles']","['China', 'Greece', 'Indonesia', 'Spain']","['East Asia', 'Europe', 'South Asia', 'Europe']",1,kokoretsi
Ki-pe-51,Greece,Europe,"What time of day are government offices closed in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Τι ώρα κλείνουν τα κρατικά γραφεία στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00).",C,"['17:00', '15:00', '14:00', '18:00']","['17:00', '15:00', '14:00', '18:00']","['Assam', 'Spain', 'Greece', 'South_Korea']","['South Asia', 'Europe', 'Europe', 'East Asia']",2,14:00
Kik-in-06,Greece,Europe,What event is usually held before a wedding in Greece?,Ποια εκδήλωση συνήθως πραγματοποιείται πριν από έναν γάμο στην Ελλάδα;,D,"['bachelor party', 'sangjit', 'meeting between the families of the bride and groom', 'engagement']","['despedida de soltero', 'sangjit', '상견례', 'αρραβώνας']","['Spain', 'Indonesia', 'South_Korea', 'Greece']","['Europe', 'South Asia', 'East Asia', 'Europe']",3,engagement
Kik-in-07,Greece,Europe,What is usually shared to the children during (Lunar) New Year in Greece?,Τι συνήθως μοιράζεται στα παιδιά κατά τη διάρκεια του (Λουνάρ) Νέου Έτους στην Ελλάδα;,A,"['vasilopita', 'red packet', 'gift', 'easter eggs']","['βασιλόπιτα', '红包', 'উপহাৰ', 'easter eggs']","['Greece', 'China', 'Assam', 'UK']","['Europe', 'East Asia', 'South Asia', 'Europe']",0,vasilopita
Kik-in-10,Greece,Europe,What is the most popular tourist attraction for foreign visitors in Greece?,Ποιο είναι το πιο δημοφιλές τουριστικό αξιοθέατο για τους ξένους επισκέπτες στην Ελλάδα;,B,"['borobudur temple', 'acropolis', 'great wall', 'buckingham palace']","['candi borobudur', 'Ακρόπολη', '长城', 'buckingham palace']","['Indonesia', 'Greece', 'China', 'UK']","['South Asia', 'Europe', 'East Asia', 'Europe']",1,acropolis
