ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Ca-sp-06,Azerbaijan,Western Asia,Which is the most important meal of the day to people from Azerbaijan?,Azərbaycanlılar üçün günün ən vacib yeməyi hansıdır?,C,"['the midday meal', 'injera', 'dinner', 'lunch']","['la comida del mediodía', 'እንጀራ', 'şam yeməyi', 'نهار']","['Spain', 'Ethiopia', 'Azerbaijan', 'Iran']","['Europe', 'Africa', 'Western Asia', 'Western Asia']",2,dinner
Ca-sp-09,Azerbaijan,Western Asia,What do people from Azerbaijan usually eat for dessert?,Azərbaycanda insanlar adətən desert üçün nə yeyirlər?,D,"['jelly', 'orange', 'apple crumble', 'cake']","['ژله', 'ብርቱካን', 'apple crumble', 'tort']","['Iran', 'Ethiopia', 'UK', 'Azerbaijan']","['Western Asia', 'Africa', 'Europe', 'Western Asia']",3,cake
Ca-sp-21,Azerbaijan,Western Asia,At which month do people usually take holidays in Azerbaijan? (Provide Arabic numerals (1~12) only.),Azərbaycanda insanlar adətən hansı ayda tətilə çıxırlar? (Yalnız ərəb rəqəmləri (1~12) verin.),A,"['7', '8', '12', '1']","['7', '8', '12', '1']","['Azerbaijan', 'Greece', 'Northern_Nigeria', 'Iran']","['Western Asia', 'Europe', 'Africa', 'Western Asia']",0,7
Ca-sp-29,Azerbaijan,Western Asia,What tradition is there in Azerbaijan for New Year's Eve?,Azərbaycanda Yeni İl arifəsində hansı ənənələr var?,B,"['eat the grapes to the rhythm of the clock in the square', 'visit relatives', 'singing', 'setting the haft-seen table']","['comer las uvas al ritmo del reloj de la plaza', 'qohumları ziyarət etmək', 'Kiɗa', 'چیدن سفره هفت سین']","['Spain', 'Azerbaijan', 'Northern_Nigeria', 'Iran']","['Europe', 'Western Asia', 'Africa', 'Western Asia']",1,visit relatives
Ca-sp-41,Azerbaijan,Western Asia,Where do the dependent elderly usually live in Azerbaijan?,Asılı vəziyyətdə olan yaşlılar Azərbaycanda adətən harada yaşayırlar?,C,"['their houses', 'care homes', 'house', 'nursing home']","['Gidanjensu ', 'care homes', 'ailə evlərində', 'خانه سالمندان']","['Northern_Nigeria', 'UK', 'Azerbaijan', 'Iran']","['Africa', 'Europe', 'Western Asia', 'Western Asia']",2,house
Ca-sp-42,Azerbaijan,Western Asia,"How long (in weeks) is Azerbaijan's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","Azərbaycanda analıq məzuniyyətinin müddəti (həftələrlə) nə qədərdir? (Yalnız ərəb rəqəmləri (məsələn, 20) göstərin.)",D,"['14', '36', '9', '18']","['14', '36', '9', '18']","['Algeria', 'Iran', 'Mexico', 'Azerbaijan']","['Africa', 'Western Asia', 'North America', 'Western Asia']",3,18
Gu-ch-09,Azerbaijan,Western Asia,What sports do women like to play the most in Azerbaijan?,Azərbaycanda qadınlar ən çox hansı idman növləri ilə məşğul olmağı xoşlayırlar?,A,"['volleyball', 'gymnastics', 'dance', 'basketball']","['voleybol', 'الجمباز', 'رقص', 'basketball']","['Azerbaijan', 'Algeria', 'Iran', 'US']","['Western Asia', 'Africa', 'Western Asia', 'North America']",0,volleyball
Gu-ch-32,Azerbaijan,Western Asia,"What is the duration of compulsory education in years in Azerbaijan? (Provide Arabic numerals (e.g., 12) only.)","Azərbaycanda məcburi təhsilin müddəti neçə ildir? (Yalnız ərəb rəqəmləri (məsələn, 12) göstərin.)",B,"['15', '9', '18', '8']","['15', '9', '18', '8']","['Mexico', 'Azerbaijan', 'Ethiopia', 'Iran']","['North America', 'Western Asia', 'Africa', 'Western Asia']",1,9
Ji-ko-03,Azerbaijan,Western Asia,Which region/city has the highest number of financial companies in Azerbaijan?,Azərbaycanda maliyyə şirkətləri ən çox hansı rayonda/şəhərdə var?,C,"['New York City', 'tehran', 'baku', 'addis ababa']","['New York City', 'تهران', 'Bakı', 'አዲስ አበባ']","['US', 'Iran', 'Azerbaijan', 'Ethiopia']","['North America', 'Western Asia', 'Western Asia', 'Africa']",2,baku
Ji-ko-07,Azerbaijan,Western Asia,What is the most famous private company in Azerbaijan?,Azərbaycanda ən məşhur özəl şirkət hansıdır?,D,"['dangote company', 'iran khodro', 'modelo group', 'pasha holding']","['kamfanin dangote', 'ايرانخودرو', 'grupo modelo', 'Paşa Holdinq']","['Northern_Nigeria', 'Iran', 'Mexico', 'Azerbaijan']","['Africa', 'Western Asia', 'North America', 'Western Asia']",3,pasha holding
Ji-ko-09,Azerbaijan,Western Asia,What do people typically eat during company get-together in Azerbaijan?,Azərbaycanda şirkət toplantıları zamanı insanlar adətən nə yeyirlər?,A,"['sandwich', 'rice with kebab', 'rice', 'burgers']","['sendviçlər', 'چلو کباب', 'shinkafa', 'burgers']","['Azerbaijan', 'Iran', 'Northern_Nigeria', 'US']","['Western Asia', 'Western Asia', 'Africa', 'North America']",0,sandwich
Ji-ko-14,Azerbaijan,Western Asia,What is the representative export item of Azerbaijan?,Azərbaycanın təmsil etdiyi ixrac məhsulu nədir?,B,"['petroleum', 'oil', 'pistachio', 'tea leaf']","['البترول', 'neft', 'پسته', 'চাহপাত']","['Algeria', 'Azerbaijan', 'Iran', 'Assam']","['Africa', 'Western Asia', 'Western Asia', 'South Asia']",1,oil
Ji-ko-22,Azerbaijan,Western Asia,What do people especially spend their first salary on in Azerbaijan's society?,Azərbaycan cəmiyyətində insanlar ilk maaşlarını xüsusilə nəyə xərcləyirlər?,C,"['their parents', 'house rent', 'household appliance', 'pants']","['والديهم', 'اجاره خانه', 'ev əşyaları', 'pakaian']","['Algeria', 'Iran', 'Azerbaijan', 'Indonesia']","['Africa', 'Western Asia', 'Western Asia', 'South Asia']",2,household appliance
Ji-ko-24,Azerbaijan,Western Asia,What is the most preferred recreational facility among children in Azerbaijan?,Azərbaycanda uşaqlar arasında ən çox üstünlük verilən istirahət mərkəzi hansıdır?,D,"['sports', 'ednamall', 'park', 'entertainment centers']","['খেলা ধূলা', 'ኤድናሞል', 'پارک', 'əyləncə mərkəzləri']","['Assam', 'Ethiopia', 'Iran', 'Azerbaijan']","['South Asia', 'Africa', 'Western Asia', 'Western Asia']",3,entertainment centers
Ji-ko-25,Azerbaijan,Western Asia,What are the family-related holidays in Azerbaijan?,Azərbaycanda ailə ilə bağlı hansı bayramlar var?,A,"['novruz', 'nowruz holiday', 'eid holiday', 'new year']","['Novruz bayramı', 'عيد نوروز', 'lebaran idul fitri', 'አዲስ አመት']","['Azerbaijan', 'Iran', 'Indonesia', 'Ethiopia']","['Western Asia', 'Western Asia', 'South Asia', 'Africa']",0,novruz
Ji-ko-27,Azerbaijan,Western Asia,What is the common gift you give when visiting elderly parents in Azerbaijan?,Azərbaycanda yaşlı valideynləri ziyarət edərkən adətən nə hədiyyə verilir?,B,"['kola nut', 'fruit', 'clothes', 'sweets']","['goro', 'meyvə', 'কাপোৰ', 'شیرینی']","['Northern_Nigeria', 'Azerbaijan', 'Assam', 'Iran']","['Africa', 'Western Asia', 'South Asia', 'Western Asia']",1,fruit
Ji-ko-28,Azerbaijan,Western Asia,When is the first day that people celebrate after a child is born in Azerbaijan?,Azərbaycanda uşaq doğulduqdan sonra insanların bayram etdiyi ilk gün nə vaxtdır?,C,"['one-month birthday', 'naming ceremony', 'fortieth day', ""on the same day as the child's birth""]","['تولد یک ماهگی', 'ranar suna', 'uşağın qırxını çıxarmaq', 'di hari yang sama dengan kelahiran si anak']","['Iran', 'Northern_Nigeria', 'Azerbaijan', 'Indonesia']","['Western Asia', 'Africa', 'Western Asia', 'South Asia']",2,fortieth day
Ji-ko-29,Azerbaijan,Western Asia,Which age's birthday is celebrated the most grandly in Azerbaijan's society?,Azərbaycan cəmiyyətində hansı yaşın ad günü ən təntəli şəkildqeyd olunur?,D,"['1', '80', '18', '50']","['1', '80', '18', '50']","['Iran', 'China', 'Greece', 'Azerbaijan']","['Western Asia', 'East Asia', 'Europe', 'Western Asia']",3,50
Ji-ko-34,Azerbaijan,Western Asia,How do elementary school students in Azerbaijan go to school?,Azərbaycanda ibtidai məktəb şagirdləri məktəbə necə gedirlər?,A,"['car', 'bus', 'parent pick-up and drop-off', 'school service']","['maşın', 'autobús', '家长接送', 'سرویس مدرسه']","['Azerbaijan', 'Spain', 'China', 'Iran']","['Western Asia', 'Europe', 'East Asia', 'Western Asia']",0,car
Ji-ko-35,Azerbaijan,Western Asia,What is the most common form of private education in Azerbaijan?,Azərbaycanda özəl təhsilin ən çox yayılmış forması hansıdır?,B,"['private tutor', 'lyceums', 'boarding school', 'private school']","['معلم خصوصی', 'liseylər', 'boarding school', '私立学校']","['Iran', 'Azerbaijan', 'UK', 'China']","['Western Asia', 'Western Asia', 'Europe', 'East Asia']",1,lyceums
Ji-ko-38,Azerbaijan,Western Asia,Which major is considered the most difficult to gain admission to in Azerbaijan?,Azərbaycanda hansı ixtisasın qəbulu ən çətin hesab olunur?,C,"['medical', 'medical science', 'medicine', 'college of medicine']","['پزشکی', 'ιατρική', 'tibb', '의예과']","['Iran', 'Greece', 'Azerbaijan', 'South_Korea']","['Western Asia', 'Europe', 'Western Asia', 'East Asia']",2,medicine
Ji-ko-40,Azerbaijan,Western Asia,What do high school students typically do during break time in schools in Azerbaijan?,Azərbaycandakı məktəblərdə orta məktəb şagirdləri adətən fasilə vaxtında nə işlə məşğul olurlar?,D,"['football', 'to eat', 'game', 'chat']","['فوتبال', 'comer', '게임', 'dostları ilə danışırlar']","['Iran', 'Spain', 'South_Korea', 'Azerbaijan']","['Western Asia', 'Europe', 'East Asia', 'Western Asia']",3,chat
Ji-ko-41,Azerbaijan,Western Asia,What kind of shoes do students wear in schools in Azerbaijan?,Azərbaycan məktəblərində şagirdlər nə cür ayaqqabılar geyinirlər?,A,"['classic shoes', 'black shoes', 'indoor shoes', 'sneakers']","['klassik', 'black shoes', '실내화', 'كتوني']","['Azerbaijan', 'UK', 'South_Korea', 'Iran']","['Western Asia', 'Europe', 'East Asia', 'Western Asia']",0,classic shoes
Ji-ko-44,Azerbaijan,Western Asia,Which region (within a city) in Azerbaijan has the highest academic fervor?,Azərbaycanın hansı bölgəsində (şəhər daxilində) akademik həvəs daha yüksəkdir?,B,"['beijing', 'sumgait', 'university city', 'enghelab street']","['北京', 'Sumqayıt', 'ciudad universitaria (UNAM)', 'خیابان انقلاب']","['China', 'Azerbaijan', 'Mexico', 'Iran']","['East Asia', 'Western Asia', 'North America', 'Western Asia']",1,sumgait
Jo-sp-18,Azerbaijan,Western Asia,"How many holiday days per year does a standard worker gets in Azerbaijan? (Provide Arabic numerals (e.g., 12) only.)","Azərbaycanda standart bir işçi il ərzində neçə gün tətil alır? (Yalnız ərəb rəqəmləri (məsələn, 12) göstərin.)",C,"['5-8', '80', '20', '10']","['5-8', '80', '20', '10']","['US', 'Iran', 'Azerbaijan', 'China']","['North America', 'Western Asia', 'Western Asia', 'East Asia']",2,20
Jo-sp-19,Azerbaijan,Western Asia,What region in Azerbaijan has been traditionally associated with agriculture?,Azərbaycanda hansı bölgə ənənəvi olaraq kənd təsərrüfatı ilə əlaqələndirilir?,D,"['north', 'north of mexico', 'honam', 'imishli']","['شمال', 'norte de méxico', '호남', 'İmişli']","['Iran', 'Mexico', 'South_Korea', 'Azerbaijan']","['Western Asia', 'North America', 'East Asia', 'Western Asia']",3,imishli
Jo-sp-32,Azerbaijan,Western Asia,What sport do elementary school students tend to practice at school in Azerbaijan?,Azərbaycanda ibtidai məktəb şagirdləri məktəbdə əsasən hansı idman növü ilə məşğul olurlar?,A,"['soccer', 'basketball', 'dodgeball', 'football']","['futbol', 'basketball', '피구', 'فوتبال']","['Azerbaijan', 'US', 'South_Korea', 'Iran']","['Western Asia', 'North America', 'East Asia', 'Western Asia']",0,soccer
Jod-ch-06,Azerbaijan,Western Asia,What is the most popular traditional alcohol in Azerbaijan?,Azərbaycanda ən məşhur ənənəvi spirtli içki hansıdır?,B,"['bai', 'araq', 'red wine', 'rice liquor']","['白酒', 'araq', 'شراب سرخ', 'সাঁজ']","['China', 'Azerbaijan', 'Iran', 'Assam']","['East Asia', 'Western Asia', 'Western Asia', 'South Asia']",1,araq
Jod-ch-12,Azerbaijan,Western Asia,What kind of soup do people from Azerbaijan like to have?,Azərbaycan insanları hansı növ şorba içməyi xoşlayırlar?,C,"['barley soup', 'tomato potato soup', 'lentil', 'chicken soup']","['سوپ جو', '西红柿马铃薯汤', 'mərcimək', 'sup ayam']","['Iran', 'China', 'Azerbaijan', 'Indonesia']","['Western Asia', 'East Asia', 'Western Asia', 'South Asia']",2,lentil
Jod-ch-13,Azerbaijan,Western Asia,What street food do people from Azerbaijan like to eat?,Azərbaycanlılar küçə yeməklərindən nə yeməyi xoşlayırlar?,D,"['stir-fried rice cakes', 'falafel', 'panipuri', 'doner kebab']","['떡볶이', 'فلافل', 'ফুচকা', 'dönər']","['South_Korea', 'Iran', 'Assam', 'Azerbaijan']","['East Asia', 'Western Asia', 'South Asia', 'Western Asia']",3,doner kebab
Jod-ch-16,Azerbaijan,Western Asia,What is the biggest festival in Azerbaijan?,Azərbaycanda ən böyük festival hansıdır?,A,"['novruz', 'cherry-blossom viewing', 'indonesian independence day', 'nowruz']","['novruz', '벚꽃놀이', 'festival 17-an', 'نوروز']","['Azerbaijan', 'South_Korea', 'Indonesia', 'Iran']","['Western Asia', 'East Asia', 'South Asia', 'Western Asia']",0,novruz
Jod-ch-30,Azerbaijan,Western Asia,What are the specific decorations or symbols associated with the most biggest festival in Azerbaijan?,Azərbaycanın ən böyük festivalı ilə bağlı hansı xüsusi dekorasiyalar və ya simvollar var?,B,"['mexican flags', 'samani', 'beer', 'haft-seen']","['banderas mexicanas', 'səməni', 'μπύρα', 'هفت سین']","['Mexico', 'Azerbaijan', 'Greece', 'Iran']","['North America', 'Western Asia', 'Europe', 'Western Asia']",1,samani
Jod-ch-37,Azerbaijan,Western Asia,What sports do women like to watch the most in Azerbaijan?,Azərbaycanda qadınlar ən çox hansı idman növlərini izləməyi xoşlayırlar?,C,"['tennis', 'football', 'volleyball', 'basketball']","['tennis', 'فوتبال', 'voleybol', 'μπάσκετ']","['US', 'Iran', 'Azerbaijan', 'Greece']","['North America', 'Western Asia', 'Western Asia', 'Europe']",2,volleyball
Jod-ch-41,Azerbaijan,Western Asia,What is the common leisure activity that females in their 20s in Azerbaijan engage in?,Azərbaycanda 20 yaşlarında olan qadınların ümumi asudə vaxtları hansı fəaliyyətlə məşğul olur?,D,"['sport', 'dance', 'go shopping', 'walking']","['ورزش', 'bailar', 'ir a comprar', 'gəzinti']","['Iran', 'Mexico', 'Spain', 'Azerbaijan']","['Western Asia', 'North America', 'Europe', 'Western Asia']",3,walking
Jod-ch-42,Azerbaijan,Western Asia,What is the common leisure activity that males in their 20s in Azerbaijan engage in?,Azərbaycanda 20 yaşlarında olan kişilərin ümumi asudə vaxtları hansı fəaliyyətlə məşğul olur?,A,"['sports', 'teahouse', 'play soccer', 'playing video games']","['i̇dmanla məşğul olurlar', 'چایخانه', 'jugar al fútbol', 'playing video games']","['Azerbaijan', 'Iran', 'Spain', 'US']","['Western Asia', 'Western Asia', 'Europe', 'North America']",0,sports
Jod-ch-46,Azerbaijan,Western Asia,"How long (in hours) do people usually take a break after lunch on a weekday in Azerbaijan? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Azərbaycanda bir iş günü nahardan sonra insanlar adətən nə qədər (saatlarla) fasilə götürürlər? (Yalnız bir onluq nöqtəyə qədər ərəb rəqəmlərini təqdim edin (məsələn, 2, 3.5).)",B,"['1.5', '0', '0.5', '1']","['1.5', '0', '0.5', '1']","['Iran', 'Azerbaijan', 'UK', 'Mexico']","['Western Asia', 'Western Asia', 'Europe', 'North America']",1,0
Jod-ch-56,Azerbaijan,Western Asia,"What is the typical retirement age for women in Azerbaijan? (Provide Arabic numerals (e.g., 12) only.)","Azərbaycanda qadınlar üçün tipik təqaüd yaşı neçədir? (Yalnız ərəb rəqəmləri (məsələn, 12) göstərin.)",C,"['65', '67', '63', '60']","['65', '67', '63', '60']","['US', 'UK', 'Azerbaijan', 'Iran']","['North America', 'Europe', 'Western Asia', 'Western Asia']",2,63
Jod-ch-61,Azerbaijan,Western Asia,Which occupation is most preferred among females in Azerbaijan?,Azərbaycanda qadınlar arasında ən çox üstünlük verilən peşə hansıdır?,D,"['teacher', 'housekeeping', 'educator', 'teaching']","['শিক্ষক', 'خانه داری', 'εκπαιδευτικός', 'müəllimlik']","['Assam', 'Iran', 'Greece', 'Azerbaijan']","['South Asia', 'Western Asia', 'Europe', 'Western Asia']",3,teaching
Ki-pe-24,Azerbaijan,Western Asia,What language is taught in schools in Azerbaijan besides English?,Azərbaycanda məktəblərdə ingilis dilindən başqa hansı dillər tədris edilir?,A,"['russian', 'german', 'indonesian language', 'arabic']","['rus dili', 'γερμανικά', 'bahasa indonesia', 'عربی']","['Azerbaijan', 'Greece', 'Indonesia', 'Iran']","['Western Asia', 'Europe', 'South Asia', 'Western Asia']",0,russian
Ki-pe-32,Azerbaijan,Western Asia,What food do the hosts usually prepare for the guests in Azerbaijan?,Azərbaycanda ev sahibləri qonaqlar üçün adətən hansı yeməkləri hazırlayırlar?,B,"['paella', 'dolma', 'arrangement of rice', 'kebab and stew']","['paella', 'dolma', 'ভাতৰ আয়োজন', 'كباب و خورشت']","['Spain', 'Azerbaijan', 'Assam', 'Iran']","['Europe', 'Western Asia', 'South Asia', 'Western Asia']",1,dolma
Ki-pe-43,Azerbaijan,Western Asia,What is the name of the popular bread in Azerbaijan?,Azərbaycanda məşhur çörəyin adı nədir?,C,"['baguette', 'sariroti', 'tandoor bread', 'sangak']","['barra de pan', 'sariroti', 'təndir çörəyi', 'سنگک']","['Spain', 'Indonesia', 'Azerbaijan', 'Iran']","['Europe', 'South Asia', 'Western Asia', 'Western Asia']",2,tandoor bread
Kik-in-01,Azerbaijan,Western Asia,What national holiday has the longest duration in Azerbaijan?,Azərbaycanda ən uzun müddətli milli bayram hansıdır?,D,"['durga puja', 'iranian new year holidays', 'easter', 'novruz']","['দুৰ্গা পূজা', 'تعطیلات سال نو ایرانی', 'easter', 'novruz']","['Assam', 'Iran', 'UK', 'Azerbaijan']","['South Asia', 'Western Asia', 'Europe', 'Western Asia']",3,novruz
Kik-in-06,Azerbaijan,Western Asia,What event is usually held before a wedding in Azerbaijan?,Azərbaycanda adətən toydan əvvəl hansı tədbir keçirilir?,A,"['henna ceremony', 'engagement', 'bachelor party, stag weekend, stag party, stag night', 'sangjit']","['xınayaxtı', 'عقد', 'bachelor party, stag weekend, stag party, stag night', 'sangjit']","['Azerbaijan', 'Iran', 'UK', 'Indonesia']","['Western Asia', 'Western Asia', 'Europe', 'South Asia']",0,henna ceremony
Kik-in-07,Azerbaijan,Western Asia,What is usually shared to the children during (Lunar) New Year in Azerbaijan?,Azərbaycanda (Ay) Yeni İlində uşaqlara adətən nə paylanılır?,B,"['fireworks', 'toy', 'eidi', 'gift']","['fuegos artificiales', 'oyuncaq', 'عیدی', 'উপহাৰ']","['Mexico', 'Azerbaijan', 'Iran', 'Assam']","['North America', 'Western Asia', 'Western Asia', 'South Asia']",1,toy
Kik-in-08,Azerbaijan,Western Asia,What activities are usually done days before Ramadan in Azerbaijan?,Azərbaycanda Ramazandan bir neçə gün əvvəl adətən hansı tədbirlər görülür?,C,"['singing', '""sunnah"" fasting', 'ramadan tent', ""mid-sha'ban celebration""]","['cantos', 'puasa sunnah', 'ramazan çadırı', 'جشن نیمه شعبان']","['Mexico', 'Indonesia', 'Azerbaijan', 'Iran']","['North America', 'South Asia', 'Western Asia', 'Western Asia']",2,ramadan tent
Kik-in-10,Azerbaijan,Western Asia,What is the most popular tourist attraction for foreign visitors in Azerbaijan?,Azərbaycanda xarici qonaqlar üçün ən populyar turistik məkan haradır?,D,"['persepolis', 'statue of liberty', 'majuli', 'inner city']","['تخت جمشید', 'statue of liberty', 'মাজুলী', 'i̇çərişəhər']","['Iran', 'US', 'Assam', 'Azerbaijan']","['Western Asia', 'North America', 'South Asia', 'Western Asia']",3,inner city
Kik-in-11,Azerbaijan,Western Asia,"What is the most popular religious sites (temple, church, etc.) for tourism in Azerbaijan?","Azərbaycanda turizm üçün ən populyar dini yerlər (məbəd, kilsə və s.) hansıdır?",A,"['təzə pir mosque', 'borobudur', 'imam reza', 'St. Peters']","['təzəpir məscidi', 'borobudur', 'امام رضا', 'St. Peters']","['Azerbaijan', 'Indonesia', 'Iran', 'US']","['Western Asia', 'South Asia', 'Western Asia', 'North America']",0,təzə pir mosque
Kik-in-15,Azerbaijan,Western Asia,What clothes do women usually wear on graduation commencement ceremony in Azerbaijan?,Azərbaycanda məzuniyyət mərasimində qadınlar adətən hansı paltarları geyinirlər?,B,"['academic dress', 'traditional clothing', 'regular clothes', 'manteau and veil']","['学位服', 'milli geyimlər', 'ملابسهم العادية', 'مانتو و مقنعه']","['China', 'Azerbaijan', 'Algeria', 'Iran']","['East Asia', 'Western Asia', 'Africa', 'Western Asia']",1,traditional clothing
Kik-in-36,Azerbaijan,Western Asia,Who is the most popular soccer coach in Azerbaijan?,Azərbaycanda ən məşhur futbol məşqçisi kimdir?,C,"['guus hiddink', 'queiroz', 'gurban gurbanov', 'rabah saâdane']","['거스 히딩크', 'كيروش', 'Qurban Qurbanov', 'رابح سعدان']","['South_Korea', 'Iran', 'Azerbaijan', 'Algeria']","['East Asia', 'Western Asia', 'Western Asia', 'Africa']",2,gurban gurbanov
Kik-in-37,Azerbaijan,Western Asia,What soccer teams in Azerbaijan are famous for their intense rivalry? (e.g. ___ vs ___),"Azərbaycanda hansı futbol komandaları gərgin rəqabəti ilə məşhurdur? (məsələn, ___ vs ___)",D,"['persepolis against esteghlal', 'ethiopian coffee vs st. george', 'evergrande vs. luneng', 'neftchi vs qarabag']","['پرسپوليس در مقابل استقلال', 'የጊዮርጊስ እና የቡና', '恒大对鲁能', 'Neftçi vs Qarabağ']","['Iran', 'Ethiopia', 'China', 'Azerbaijan']","['Western Asia', 'Africa', 'East Asia', 'Western Asia']",3,neftchi vs qarabag
Na-ko-02,Azerbaijan,Western Asia,What cafe beverage do people from Azerbaijan most commonly enjoy?,Azərbaycanlılar ən çox hansı kafe içkisindən zövq alırlar?,A,"['tea', 'coffee', 'americano', 'macchiato']","['çay', 'قهوه', '아메리카노', 'ማኪያቶ']","['Azerbaijan', 'Iran', 'South_Korea', 'Ethiopia']","['Western Asia', 'Western Asia', 'East Asia', 'Africa']",0,tea
Na-ko-05,Azerbaijan,Western Asia,What is the typical delivery food in Azerbaijan?,Azərbaycanda tipik çatdırılma yeməyi nədir?,B,"['pizza', 'doner kebab', 'rice', 'skewers']","['پیتزا', 'dönər', 'shinkafa', '烧烤']","['Iran', 'Azerbaijan', 'Northern_Nigeria', 'China']","['Western Asia', 'Western Asia', 'Africa', 'East Asia']",1,doner kebab
Na-ko-07,Azerbaijan,Western Asia,What type of meat is consumed most by people from Azerbaijan?,Azərbaycan insanları ən çox hansı növ əti istehlak edir?,C,"['sheep', 'pork', 'beef', 'chicken']","['Naman rago', '돼지고기', 'mal əti', 'مرغ']","['Northern_Nigeria', 'South_Korea', 'Azerbaijan', 'Iran']","['Africa', 'East Asia', 'Western Asia', 'Western Asia']",2,beef
