ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Ji-ko-03,Mexico,North America,Which region/city has the highest number of financial companies in Mexico?,¿Qué región/ciudad tiene el mayor número de empresas financieras en México?,A,"['mexico city', 'addis ababa', 'tehran', 'New York City']","['ciudad de méxico', 'አዲስ አበባ', 'تهران', 'New York City']","['Mexico', 'Ethiopia', 'Iran', 'US']","['North America', 'Africa', 'Western Asia', 'North America']",0,mexico city
Ji-ko-07,Mexico,North America,What is the most famous private company in Mexico?,¿Cuál es la empresa privada más famosa de México?,B,"['pasha holding', 'modelo group', 'dangote company', 'Google']","['Paşa Holdinq', 'grupo modelo', 'kamfanin dangote', 'Google']","['Azerbaijan', 'Mexico', 'Northern_Nigeria', 'US']","['Western Asia', 'North America', 'Africa', 'North America']",1,modelo group
Ji-ko-09,Mexico,North America,What do people typically eat during company get-together in Mexico?,¿Qué suelen comer las personas durante una reunión de empresa en México?,C,"['rice with kebab', 'burgers', 'sandwiches', 'rice']","['چلو کباب', 'burgers', 'sandwiches', 'shinkafa']","['Iran', 'US', 'Mexico', 'Northern_Nigeria']","['Western Asia', 'North America', 'North America', 'Africa']",2,sandwiches
Ji-ko-14,Mexico,North America,What is the representative export item of Mexico?,¿Cuál es el artículo de exportación representativo de México?,D,"['yiwu small commodities', 'olive oil', 'corn', 'avocado']","['义乌小商品', 'ελαιόλαδο', 'corn', 'aguacate']","['China', 'Greece', 'US', 'Mexico']","['East Asia', 'Europe', 'North America', 'North America']",3,avocado
Ji-ko-16,Mexico,North America,Where do mothers stay for a certain period after childbirth for recovery in Mexico?,¿Dónde se quedan las madres por un cierto período después del parto para recuperarse en México?,A,"['hospital', 'in the hospital', 'postpartum care center', 'home']","['hospital', 'en el hospital', '月子中心', 'home']","['Mexico', 'Spain', 'China', 'US']","['North America', 'Europe', 'East Asia', 'North America']",0,hospital
Ji-ko-24,Mexico,North America,What is the most preferred recreational facility among children in Mexico?,¿Cuál es la instalación recreativa preferida por los niños en México?,B,"['park', 'public parks', 'swing', 'park playground']","['park', 'parques publicos', '秋千', 'park playground']","['UK', 'Mexico', 'China', 'US']","['Europe', 'North America', 'East Asia', 'North America']",1,public parks
Ji-ko-25,Mexico,North America,What are the family-related holidays in Mexico?,¿Cuáles son las festividades relacionadas con la familia en México?,C,"['christmas', 'Thanksgiving', ""mother's day"", ""children's day""]","['Χριστούγεννα', 'Thanksgiving', 'día de las madres', '어린이날']","['Greece', 'US', 'Mexico', 'South_Korea']","['Europe', 'North America', 'North America', 'East Asia']",2,mother's day
Ji-ko-26,Mexico,North America,What are the key milestones associated with children's independence from their parents in Mexico's society?,¿Cuáles son los hitos clave asociados con la independencia de los hijos de sus padres en la sociedad mexicana?,D,"[""driver's license"", 'employment', 'pay own rent', 'getting married']","[""driver's license"", '취업', 'pagar alquiler propio', 'que se casen']","['US', 'South_Korea', 'Spain', 'Mexico']","['North America', 'East Asia', 'Europe', 'North America']",3,getting married
Ji-ko-27,Mexico,North America,What is the common gift you give when visiting elderly parents in Mexico?,¿Cuál es el regalo común que das cuando visitas a los padres ancianos en México?,A,"['clothes', 'wine', 'functional food', 'flowers']","['ropa', 'wine', '건강기능식품', 'flowers']","['Mexico', 'US', 'South_Korea', 'UK']","['North America', 'North America', 'East Asia', 'Europe']",0,clothes
Ji-ko-29,Mexico,North America,Which age's birthday is celebrated the most grandly in Mexico's society?,¿Qué cumpleaños se celebra con mayor pompa en la sociedad mexicana?,B,"['21st', '15', '80', '1']","['21st', 'los quince años', '80', '1']","['US', 'Mexico', 'China', 'Assam']","['North America', 'North America', 'East Asia', 'South Asia']",1,15
Ji-ko-31,Mexico,North America,Where do middle and high school students in Mexico usually study for exams?,¿Dónde suelen estudiar para los exámenes los estudiantes de secundaria y preparatoria en México?,C,"['school', 'home', 'at home', 'tutoring']","['学校', 'home', 'en casa', 'les']","['China', 'US', 'Mexico', 'Indonesia']","['East Asia', 'North America', 'North America', 'South Asia']",2,at home
Ji-ko-33,Mexico,North America,Where do high school students in Mexico usually go after dinner?,¿A dónde suelen ir los estudiantes de preparatoria en México después de cenar?,D,"['sleeps at home', ""friend's house"", 'academy', 'home']","['ঘৰত শুই থাকে', ""friend's house"", '학원', 'a su casa']","['Assam', 'US', 'South_Korea', 'Mexico']","['South Asia', 'North America', 'East Asia', 'North America']",3,home
Ji-ko-35,Mexico,North America,What is the most common form of private education in Mexico?,¿Cuál es la forma más común de educación privada en México?,A,"['schools with a license from the s.e.p.', 'Catholic school', 'english course', 'academy']","['Escuelas incorporadas a la Secretaria de Educación Publica (SEP)', 'Catholic school', 'kursus bahasa inggris', '학원']","['Mexico', 'US', 'Indonesia', 'South_Korea']","['North America', 'North America', 'South Asia', 'East Asia']",0,schools with a license from the s.e.p.
Ji-ko-40,Mexico,North America,What do high school students typically do during break time in schools in Mexico?,¿Qué suelen hacer los estudiantes de preparatoria durante el recreo en las escuelas de México?,B,"['eat lunch', 'to chat', 'go to the toilet', 'chat']","['eat lunch', 'platicar', '上厕所', 'dostları ilə danışırlar']","['US', 'Mexico', 'China', 'Azerbaijan']","['North America', 'North America', 'East Asia', 'Western Asia']",1,to chat
Ji-ko-44,Mexico,North America,Which region (within a city) in Mexico has the highest academic fervor?,¿Qué región (dentro de una ciudad) en México tiene el mayor fervor académico?,C,"['metropolitan', 'beijing', 'university city', 'enghelab street']","['metropolitan', '北京', 'ciudad universitaria (UNAM)', 'خیابان انقلاب']","['US', 'China', 'Mexico', 'Iran']","['North America', 'East Asia', 'North America', 'Western Asia']",2,university city
Ji-ko-45,Mexico,North America,What do people look forward to the most at university festivals in Mexico?,¿Qué es lo que más esperan las personas de los festivales universitarios en México?,D,"['music', 'music performance', 'singer', 'to learn']","['music', 'musiqi ifaları', '가수 공연', 'aprender']","['US', 'Azerbaijan', 'South_Korea', 'Mexico']","['North America', 'Western Asia', 'East Asia', 'North America']",3,to learn
Jo-sp-18,Mexico,North America,"How many holiday days per year does a standard worker gets in Mexico? (Provide Arabic numerals (e.g., 12) only.)","¿Cuántos días de vacaciones por año recibe un trabajador estándar en México? (Proporcione solo números arábigos (por ejemplo, 12).)",A,"['10', '80', '15', '5-8']","['10', '80', '15', '5-8']","['Mexico', 'Iran', 'South_Korea', 'US']","['North America', 'Western Asia', 'East Asia', 'North America']",0,10
Jo-sp-19,Mexico,North America,What region in Mexico has been traditionally associated with agriculture?,¿Qué región de México ha estado tradicionalmente asociada con la agricultura?,B,"['midwest', 'north of mexico', 'crete', 'assam']","['midwest', 'norte de méxico', 'Κρήτη', 'সমগ্ৰ অসম']","['US', 'Mexico', 'Greece', 'Assam']","['North America', 'North America', 'Europe', 'South Asia']",1,north of mexico
Jo-sp-21,Mexico,North America,"What time, if any, do people usually leave work for lunch in Mexico? (Provide in HH:MM format (e.g., 18:00, 09:00).)","¿A qué hora, si es que la hay, la gente suele salir del trabajo para ir a comer en México? (Proporcionar en formato HH:MM (por ejemplo, 18:00, 09:00).)",C,"['17:00', '12:00', '14:00', 'noon']","['17:00', '12:00', '14:00', 'noon']","['Greece', 'Indonesia', 'Mexico', 'US']","['Europe', 'South Asia', 'North America', 'North America']",2,14:00
Jo-sp-37,Mexico,North America,"How long (in weeks) are summer vacations at universities in Mexico? (Provide in Arabic numerals (e.g., 7, 8) only.)","¿Cuántas semanas duran las vacaciones de verano en las universidades de México? (Proporcionar solo en números arábigos (por ejemplo, 7, 8).)",D,"['12', '4', '8', '3']","['12', '4', '8', '3']","['US', 'Assam', 'Spain', 'Mexico']","['North America', 'South Asia', 'Europe', 'North America']",3,3
Jod-ch-06,Mexico,North America,What is the most popular traditional alcohol in Mexico?,¿Cuál es el alcohol tradicional más popular en México?,A,"['tequila', 'wine', 'beer', 'sopi']","['tequila', 'vino', 'beer', 'sopi']","['Mexico', 'Spain', 'US', 'Indonesia']","['North America', 'Europe', 'North America', 'South Asia']",0,tequila
Jod-ch-12,Mexico,North America,What kind of soup do people from Mexico like to have?,¿Qué tipo de sopa les gusta tomar a las personas de México?,B,"['tomato', 'noodle soup', 'vegetable soup', 'vegetable']","['tomato', 'sopa de fideo', 'শাক-পাছলিৰ ছু’প', 'vegetable']","['UK', 'Mexico', 'Assam', 'US']","['Europe', 'North America', 'South Asia', 'North America']",1,noodle soup
Jod-ch-13,Mexico,North America,What street food do people from Mexico like to eat?,¿Qué comida callejera les gusta comer a las personas de México?,C,"['kebabs', 'cilok', 'tacos', 'hotdogs']","['kebabs', 'cilok', 'tacos', 'hotdogs']","['UK', 'Indonesia', 'Mexico', 'US']","['Europe', 'South Asia', 'North America', 'North America']",2,tacos
Jod-ch-15,Mexico,North America,What kind of seafood do people from Mexico like to eat?,¿Qué tipo de mariscos les gusta comer a las personas de México?,D,"['lobster', 'fish', 'calamari', 'shrimp']","['lobster', 'balıq', 'καλαμαράκια', 'camarón']","['US', 'Azerbaijan', 'Greece', 'Mexico']","['North America', 'Western Asia', 'Europe', 'North America']",3,shrimp
Jod-ch-16,Mexico,North America,What is the biggest festival in Mexico?,¿Cuál es el festival más grande de México?,A,"['san marcos fair', 'patras carnival', 'nowruz', 'South by Southwest']","['feria de san marcos', 'Πατρινό καρναβάλι', 'نوروز', 'South by Southwest']","['Mexico', 'Greece', 'Iran', 'US']","['North America', 'Europe', 'Western Asia', 'North America']",0,san marcos fair
Jod-ch-28,Mexico,North America,What is the most commonly used public transport by people when travelling between cites in Mexico?,¿Cuál es el transporte público más utilizado por las personas al viajar entre ciudades en México?,B,"['train', 'bus', 'plane', 'personal car']","['tren', 'autobús', 'plane', 'şəxsi maşın']","['Spain', 'Mexico', 'US', 'Azerbaijan']","['Europe', 'North America', 'North America', 'Western Asia']",1,bus
Jod-ch-30,Mexico,North America,What are the specific decorations or symbols associated with the most biggest festival in Mexico?,¿Cuáles son las decoraciones o símbolos específicos asociados con el festival más grande de México?,C,"['Xmas', 'flag', 'mexican flags', 'haft-seen']","['Xmas', 'bandera', 'banderas mexicanas', 'هفت سین']","['US', 'Spain', 'Mexico', 'Iran']","['North America', 'Europe', 'North America', 'Western Asia']",2,mexican flags
Jod-ch-41,Mexico,North America,What is the common leisure activity that females in their 20s in Mexico engage in?,¿Cuál es la actividad de ocio común en la que participan las mujeres de 20 años en México?,D,"['walking', 'jogging', 'hanging out with friends', 'dance']","['gəzinti', 'jogging', 'hanging out with friends', 'bailar']","['Azerbaijan', 'UK', 'US', 'Mexico']","['Western Asia', 'Europe', 'North America', 'North America']",3,dance
Jod-ch-42,Mexico,North America,What is the common leisure activity that males in their 20s in Mexico engage in?,¿Cuál es la actividad de ocio común en la que participan los hombres en sus 20s en México?,A,"['soccer', 'drinking', 'teahouse', 'playing video games']","['fútbol', 'drinking', 'چایخانه', 'playing video games']","['Mexico', 'UK', 'Iran', 'US']","['North America', 'Europe', 'Western Asia', 'North America']",0,soccer
Jod-ch-51,Mexico,North America,What is the most common transportation that people take to get to work in Mexico?,¿Cuál es el medio de transporte más común que la gente utiliza para ir al trabajo en México?,B,"['metro', 'bus', 'driving', 'horse']","['metro', 'autobús', 'driving', 'গাডী়']","['Azerbaijan', 'Mexico', 'US', 'Assam']","['Western Asia', 'North America', 'North America', 'South Asia']",1,bus
Jod-ch-58,Mexico,North America,Which profession is the most respected in Mexico?,¿Cuál es la profesión más respetada en México?,C,"['medicine', 'medical', 'doctor', 'teacher']","['medicine', 'پزشکی', 'médico', 'শিক্ষক']","['US', 'Iran', 'Mexico', 'Assam']","['North America', 'Western Asia', 'North America', 'South Asia']",2,doctor
Jod-ch-61,Mexico,North America,Which occupation is most preferred among females in Mexico?,¿Cuál es la ocupación más preferida entre las mujeres en México?,D,"['teaching', 'instructor', 'teacher', 'housewife']","['müəllimlik', 'instructor', 'guru', 'ama de casa']","['Azerbaijan', 'US', 'Indonesia', 'Mexico']","['Western Asia', 'North America', 'South Asia', 'North America']",3,housewife
Jod-ch-62,Mexico,North America,Which occupation is most preferred among males in Mexico?,¿Cuál es la ocupación más preferida entre los hombres en México?,A,"['engineer', 'doctor', 'entrepreneur', 'investor']","['ingeniero', 'دکتر', 'wirausahawan', 'investor']","['Mexico', 'Iran', 'Indonesia', 'US']","['North America', 'Western Asia', 'South Asia', 'North America']",0,engineer
Ki-pe-32,Mexico,North America,What food do the hosts usually prepare for the guests in Mexico?,¿Qué comida suelen preparar los anfitriones para los invitados en México?,B,"['chips', 'a traditional soup or stew made of pork and corn', 'stir-fry', 'sweets']","['chips', 'pozole', '热炒', 'الحلوى']","['US', 'Mexico', 'China', 'Algeria']","['North America', 'North America', 'East Asia', 'Africa']",1,a traditional soup or stew made of pork and corn
Ki-pe-36,Mexico,North America,"Except the food original from Mexico, which country's food is more popular in Mexico?","Exceptuando la comida originaria de México, ¿qué comida de qué país es más popular en México?",C,"['mexican', 'italy', 'chinese', 'japanese cuisine']","['mexican', 'إيطاليا', 'china', '일식']","['US', 'Algeria', 'Mexico', 'South_Korea']","['North America', 'Africa', 'North America', 'East Asia']",2,chinese
Ki-pe-39,Mexico,North America,What food is usually prepared for a family picnic in Mexico?,¿Qué comida se suele preparar para un picnic familiar en México?,D,"['dabo qollo', 'fruit', 'sandwiches', 'sandwich']","['ዳቦ ቆሎ', '水果', 'sandwiches', 'sandwich']","['Ethiopia', 'China', 'US', 'Mexico']","['Africa', 'East Asia', 'North America', 'North America']",3,sandwich
Ki-pe-43,Mexico,North America,What is the name of the popular bread in Mexico?,¿Cuál es el nombre del pan popular en México?,A,"['concha', 'big bread', 'Wonder Bread', 'pizza bread']","['concha', 'ድፎ ዳቦ', 'Wonder Bread', '피자빵']","['Mexico', 'Ethiopia', 'US', 'South_Korea']","['North America', 'Africa', 'North America', 'East Asia']",0,concha
Kik-in-01,Mexico,North America,What national holiday has the longest duration in Mexico?,¿Qué día festivo nacional tiene la mayor duración en México?,B,"['end of year holiday', 'easter', 'lunar new year', 'Xmas']","['hutun karshen shekara', 'semana santa', '春节', 'Xmas']","['Northern_Nigeria', 'Mexico', 'China', 'US']","['Africa', 'North America', 'East Asia', 'North America']",1,easter
Kik-in-02,Mexico,North America,What are the common activities people from Mexico do to celebrate Independence day?,¿Cuáles son las actividades comunes que la gente de México realiza para celebrar el Día de la Independencia?,C,"['fireworks', 'pictures', 'national holidays', 'raising the national flag']","['fireworks', 'hotuna', 'fiestas patrias', '국기 게양']","['US', 'Northern_Nigeria', 'Mexico', 'South_Korea']","['North America', 'Africa', 'North America', 'East Asia']",2,national holidays
Kik-in-04,Mexico,North America,What is installed in front of the house when a family member dies in Mexico?,¿Qué se instala enfrente de la casa cuando muere un miembro de la familia en México?,D,"['chair', 'flag', 'obituary', 'black bow']","['الكراسي', 'flag', 'κηδειοχαρτο', 'moño negro']","['Algeria', 'US', 'Greece', 'Mexico']","['Africa', 'North America', 'Europe', 'North America']",3,black bow
Kik-in-07,Mexico,North America,What is usually shared to the children during (Lunar) New Year in Mexico?,¿Qué se suele compartir con los niños durante el Año Nuevo (Lunar) en México?,A,"['fireworks', 'cash', 'gifts', 'sweets']","['fuegos artificiales', 'cash', 'regalos', 'الحلويات']","['Mexico', 'US', 'Spain', 'Algeria']","['North America', 'North America', 'Europe', 'Africa']",0,fireworks
Kik-in-08,Mexico,North America,What activities are usually done days before Ramadan in Mexico?,¿Qué actividades se suelen realizar días antes del Ramadán en México?,B,"['house cleaning', 'singing', 'daylight fasting', 'fasting']","['تنظيف البيت', 'cantos', 'daylight fasting', 'fasting']","['Algeria', 'Mexico', 'US', 'UK']","['Africa', 'North America', 'North America', 'Europe']",1,singing
Kik-in-10,Mexico,North America,What is the most popular tourist attraction for foreign visitors in Mexico?,¿Cuál es la atracción turística más popular para los visitantes extranjeros en México?,C,"['statue of liberty', 'acropolis', 'beaches', ""lalibela's church""]","['statue of liberty', 'Ακρόπολη', 'playas', 'የላልይበላ ቤ']","['US', 'Greece', 'Mexico', 'Ethiopia']","['North America', 'Europe', 'North America', 'Africa']",2,beaches
Kik-in-11,Mexico,North America,"What is the most popular religious sites (temple, church, etc.) for tourism in Mexico?","¿Cuáles son los sitios religiosos (templo, iglesia, etc.) más populares para el turismo en México?",D,"['St. Peters', 'axum zion', 'sagrada família', 'basilica of guadalupe']","['St. Peters', 'አክሱም ፂዎን', 'sagrada familia', 'basílica de guadalupe']","['US', 'Ethiopia', 'Spain', 'Mexico']","['North America', 'Africa', 'Europe', 'North America']",3,basilica of guadalupe
Kik-in-15,Mexico,North America,What clothes do women usually wear on graduation commencement ceremony in Mexico?,¿Qué ropa suelen usar las mujeres en la ceremonia de graduación en México?,A,"['dress', 'traditional dress', 'gowns', 'graduation cap']","['vestido', 'የባህል ቀሚስ', 'gowns', 'graduation cap']","['Mexico', 'Ethiopia', 'UK', 'US']","['North America', 'Africa', 'Europe', 'North America']",0,dress
Kik-in-16,Mexico,North America,What drink is commonly consumed in Mexico when the weather is cold?,¿Qué bebida se consume comúnmente en México cuando el clima está frío?,B,"['tea', 'a traditional hot mexican beverage made from cornmeal and water or milk', 'tsipouro', 'hot coffee']","['shayi', 'atole', 'τσίπουρο', 'hot coffee']","['Northern_Nigeria', 'Mexico', 'Greece', 'US']","['Africa', 'North America', 'Europe', 'North America']",1,a traditional hot mexican beverage made from cornmeal and water or milk
Kik-in-35,Mexico,North America,What sports were popular among people from Mexico during the COVID-19 pandemic?,¿Qué deportes fueron populares entre la gente de México durante la pandemia de COVID-19?,C,"['games', 'ea sports', 'soccer', 'e-sports']","['Wasa', 'ea sports', 'fútbol', 'e-sports']","['Northern_Nigeria', 'Spain', 'Mexico', 'US']","['Africa', 'Europe', 'North America', 'North America']",2,soccer
Kik-in-36,Mexico,North America,Who is the most popular soccer coach in Mexico?,¿Quién es el entrenador de fútbol más popular en México?,D,"['salisu yusuff', 'gregg berhalter', 'pep guardiola', 'miguel herrera']","['salisu yusuff', 'gregg berhalter', 'pep guardiola', 'miguel herrera']","['Northern_Nigeria', 'US', 'UK', 'Mexico']","['Africa', 'North America', 'Europe', 'North America']",3,miguel herrera
